--- Printing Model Parameters ---
  86 : segment.S4.1.dwconv.1.beta                         | Shape: (384,)                         | Values: [-1.0134686 -1.3561864 -0.9509471 -3.3016577 -1.0990515]
  87 : segment.S4.1.conv2.0.weight                        | Shape: (64, 384, 1, 1)                | Values: [-0.01411095  0.01980059  0.05032735 -0.06149743 -0.07075915]
  88 : segment.S4.1.conv2.1.gamma                         | Shape: (64,)                          | Values: [ 1.6034253  2.032701  -2.6851873  3.2871609 -2.136827 ]
  89 : segment.S4.1.conv2.1.beta                          | Shape: (64,)                          | Values: [-0.21729672 -2.416384   -1.169894   -2.3744426  -0.4723421 ]
  90 : segment.S5_4.0.conv1.conv.weight                   | Shape: (64, 64, 3, 3)                 | Values: [-0.10911039 -0.13079396 -0.11274973 -0.01550342 -0.18378389]
  91 : segment.S5_4.0.conv1.bn.gamma                      | Shape: (64,)                          | Values: [1.2635975  1.3836107  0.89070535 2.0567625  1.0842069 ]
  92 : segment.S5_4.0.conv1.bn.beta                       | Shape: (64,)                          | Values: [ 2.4189029  2.8317869  2.5144243 -3.7776985  2.5670002]
  93 : segment.S5_4.0.dwconv1.0.weight                    | Shape: (384, 1, 3, 3)                 | Values: [-0.03146933 -0.03769556 -0.03617891 -0.06451728 -0.30688545]
  94 : segment.S5_4.0.dwconv1.1.gamma                     | Shape: (384,)                         | Values: [0.9734059 1.2944995 1.2174861 1.138677  1.1045669]
  95 : segment.S5_4.0.dwconv1.1.beta                      | Shape: (384,)                         | Values: [ 0.58157444 -0.57437223  0.6962798   0.6786736  -0.08678016]
  96 : segment.S5_4.0.dwconv2.0.weight                    | Shape: (384, 1, 3, 3)                 | Values: [-0.03820328  0.04275525 -0.04552586 -0.06770191  0.50647604]
  97 : segment.S5_4.0.dwconv2.1.gamma                     | Shape: (384,)                         | Values: [2.0610042 2.267279  2.1813974 1.9291214 2.16513  ]
  98 : segment.S5_4.0.dwconv2.1.beta                      | Shape: (384,)                         | Values: [-0.5080734  -0.8802901  -0.77421725 -0.62807286 -1.1815882 ]
  99 : segment.S5_4.0.conv2.0.weight                      | Shape: (128, 384, 1, 1)               | Values: [-0.23788339 -0.07709565 -0.17106219 -0.28086016 -0.16647048]
  100: segment.S5_4.0.conv2.1.gamma                       | Shape: (128,)                         | Values: [-2.8200707  -2.8904965   2.5542092   0.69470614 -1.6490588 ]
  101: segment.S5_4.0.conv2.1.beta                        | Shape: (128,)                         | Values: [ 0.7767445  -0.12911469 -0.16947535  0.76537126  1.1335077 ]
  102: segment.S5_4.0.shortcut.0.weight                   | Shape: (64, 1, 3, 3)                  | Values: [-0.06068159 -0.1980925  -0.15432744 -0.10456607 -0.37403053]
  103: segment.S5_4.0.shortcut.1.gamma                    | Shape: (64,)                          | Values: [3.2475061 3.259303  3.228874  3.3192859 3.5117664]
  104: segment.S5_4.0.shortcut.1.beta                     | Shape: (64,)                          | Values: [-9.8573328e-05 -1.0662332e-04  6.9875387e-04  4.2174215e-04
 -6.9266814e-04]
  105: segment.S5_4.0.shortcut.2.weight                   | Shape: (128, 64, 1, 1)                | Values: [-0.295832   -0.11927085 -0.3042616  -0.16017391 -0.129882  ]
  106: segment.S5_4.0.shortcut.3.gamma                    | Shape: (128,)                         | Values: [2.6433387 2.3451676 2.9595165 4.29422   3.8756762]
  107: segment.S5_4.0.shortcut.3.beta                     | Shape: (128,)                         | Values: [ 0.7767445  -0.12911469 -0.16947535  0.76537126  1.1335077 ]
  108: segment.S5_4.1.conv1.conv.weight                   | Shape: (128, 128, 3, 3)               | Values: [-0.00056626 -0.04545871 -0.05234068 -0.02447884 -0.00839201]
  109: segment.S5_4.1.conv1.bn.gamma                      | Shape: (128,)                         | Values: [1.7239262 2.0392232 1.43676   1.3082389 1.7389966]
  110: segment.S5_4.1.conv1.bn.beta                       | Shape: (128,)                         | Values: [-1.4384655  -1.5186472   1.3305385   1.6336919  -0.13534947]
  111: segment.S5_4.1.dwconv.0.weight                     | Shape: (768, 1, 3, 3)                 | Values: [-0.1625519  -0.15122011 -0.10793947 -0.12859763 -0.01433157]
  112: segment.S5_4.1.dwconv.1.gamma                      | Shape: (768,)                         | Values: [0.65088177 0.6359918  1.1941025  0.91397524 0.6520413 ]
  113: segment.S5_4.1.dwconv.1.beta                       | Shape: (768,)                         | Values: [ 0.9920431   1.411738   -1.5764021  -0.67718893  1.1293861 ]
  114: segment.S5_4.1.conv2.0.weight                      | Shape: (128, 768, 1, 1)               | Values: [-0.03334148  0.01670871 -0.0937655  -0.07126247 -0.03062467]
  115: segment.S5_4.1.conv2.1.gamma                       | Shape: (128,)                         | Values: [ 1.7431791 -2.2471733  1.7098763  1.5460058  1.4975626]
  116: segment.S5_4.1.conv2.1.beta                        | Shape: (128,)                         | Values: [-0.2464342  -0.4604422   0.44156873 -1.7992362  -1.0140612 ]
  117: segment.S5_4.2.conv1.conv.weight                   | Shape: (128, 128, 3, 3)               | Values: [-0.00521753  0.07901701 -0.00738836 -0.00992624 -0.06435546]
  118: segment.S5_4.2.conv1.bn.gamma                      | Shape: (128,)                         | Values: [1.8539819 1.9358137 1.8398905 1.8186221 1.581046 ]
  119: segment.S5_4.2.conv1.bn.beta                       | Shape: (128,)                         | Values: [-1.9154105 -2.1547837 -2.2456996 -1.1010385  0.7091241]
  120: segment.S5_4.2.dwconv.0.weight                     | Shape: (768, 1, 3, 3)                 | Values: [ 0.09269887  0.11526841 -0.07792376  0.12132413  0.27748764]
  121: segment.S5_4.2.dwconv.1.gamma                      | Shape: (768,)                         | Values: [1.1639531 1.0258803 1.2219403 1.2313796 0.6215884]
  122: segment.S5_4.2.dwconv.1.beta                       | Shape: (768,)                         | Values: [-2.3572857  -0.46613306 -1.6094515  -1.2462041   1.9248657 ]
  123: segment.S5_4.2.conv2.0.weight                      | Shape: (128, 768, 1, 1)               | Values: [ 0.09879799 -0.00451837 -0.02177847  0.11617444 -0.04555567]
  124: segment.S5_4.2.conv2.1.gamma                       | Shape: (128,)                         | Values: [-1.3343139  2.8569798 -1.9503341  1.0914876 -2.1315074]
  125: segment.S5_4.2.conv2.1.beta                        | Shape: (128,)                         | Values: [ 0.5153753  -2.087651   -2.5358624  -0.14196311 -1.3482323 ]
  126: segment.S5_4.3.conv1.conv.weight                   | Shape: (128, 128, 3, 3)               | Values: [-0.01494172 -0.00850876 -0.03786128 -0.02273954  0.10238723]
  127: segment.S5_4.3.conv1.bn.gamma                      | Shape: (128,)                         | Values: [1.6840959 1.6374137 1.4762281 1.7907134 1.6387523]
  128: segment.S5_4.3.conv1.bn.beta                       | Shape: (128,)                         | Values: [-1.7612076  -0.5509183   0.66863525  0.05770963 -1.4956294 ]
  129: segment.S5_4.3.dwconv.0.weight                     | Shape: (768, 1, 3, 3)                 | Values: [-0.01041862 -0.05325499 -0.13313895 -0.07134114 -0.11636408]
  130: segment.S5_4.3.dwconv.1.gamma                      | Shape: (768,)                         | Values: [0.7487466  1.0160434  0.70328456 0.9078381  0.92947906]
  131: segment.S5_4.3.dwconv.1.beta                       | Shape: (768,)                         | Values: [ 0.18370508  0.34036848 -1.3821205  -2.1212597  -2.4952774 ]
  132: segment.S5_4.3.conv2.0.weight                      | Shape: (128, 768, 1, 1)               | Values: [ 0.08590766  0.05028834 -0.00396502 -0.04606914  0.01038031]
  133: segment.S5_4.3.conv2.1.gamma                       | Shape: (128,)                         | Values: [-2.0932956  4.04091    2.718864   0.6584834  2.4133425]
  134: segment.S5_4.3.conv2.1.beta                        | Shape: (128,)                         | Values: [-1.2046078  1.6420217 -2.4993298 -0.2637743 -2.3467464]
  135: segment.S5_5.bn.gamma                              | Shape: (128,)                         | Values: [1.971293  1.7739184 2.8810592 1.7539256 2.375364 ]
  136: segment.S5_5.bn.beta                               | Shape: (128,)                         | Values: [ 0.00025268 -0.00030128  0.00121896 -0.00018917  0.00127622]
  137: segment.S5_5.conv_gap.conv.weight                  | Shape: (128, 128, 1, 1)               | Values: [ 0.1166166   0.12882747 -0.02753075 -0.05530804  0.01354336]
  138: segment.S5_5.conv_gap.bn.gamma                     | Shape: (128,)                         | Values: [2.2218063 1.4176352 2.47918   1.3633649 1.5218335]
  139: segment.S5_5.conv_gap.bn.beta                      | Shape: (128,)                         | Values: [-0.659257   0.701641   1.9975792  2.8333733  1.2741245]
  140: segment.S5_5.conv_last.conv.weight                 | Shape: (128, 128, 3, 3)               | Values: [-0.08777966 -0.14160201 -0.13969012  0.01325762 -0.10149293]
  141: segment.S5_5.conv_last.bn.gamma                    | Shape: (128,)                         | Values: [4.3189883 3.2407537 1.2316098 3.6995623 6.2139664]
  142: segment.S5_5.conv_last.bn.beta                     | Shape: (128,)                         | Values: [-3.471345  -1.3541716  2.0629306 -2.0905437 -9.636321 ]
  143: bga.left1.0.weight                                 | Shape: (128, 1, 3, 3)                 | Values: [-0.01949661  0.1743525   0.0403364   0.14828458  0.2399368 ]
  144: bga.left1.1.gamma                                  | Shape: (128,)                         | Values: [2.4012754 2.7882159 2.7363403 2.9808924 2.946627 ]
  145: bga.left1.1.beta                                   | Shape: (128,)                         | Values: [-0.6955682  -0.20851186 -0.21492498 -0.31917846 -0.5693351 ]
  146: bga.left1.2.weight                                 | Shape: (128, 128, 1, 1)               | Values: [ 0.09859125  0.82310754 -0.17194702  0.08762138 -0.297989  ]
  147: bga.left2.0.weight                                 | Shape: (128, 128, 3, 3)               | Values: [ 0.00353297 -0.01182216 -0.00510088 -0.01599172  0.00147617]
  148: bga.left2.1.gamma                                  | Shape: (128,)                         | Values: [1.4094583 2.8810616 4.8402143 6.1025815 2.4976602]
  149: bga.left2.1.beta                                   | Shape: (128,)                         | Values: [-3.7260385  5.787159   3.0599566  0.8623451 -3.3911557]
  150: bga.right1.0.weight                                | Shape: (128, 128, 3, 3)               | Values: [-0.02088403 -0.06213417 -0.00526048 -0.09220592 -0.16184501]
  151: bga.right1.1.gamma                                 | Shape: (128,)                         | Values: [0.44941992 0.77253497 0.53026694 1.0379803  0.62043536]
  152: bga.right1.1.beta                                  | Shape: (128,)                         | Values: [-0.83042395 -1.4576924  -1.1164898  -1.6348523  -0.9221426 ]
  153: bga.right2.0.weight                                | Shape: (128, 1, 3, 3)                 | Values: [0.00478396 0.11804274 0.01687705 0.11053472 0.27172673]
  154: bga.right2.1.gamma                                 | Shape: (128,)                         | Values: [0.45063865 0.38391146 0.6534497  0.56681913 0.29929513]
  155: bga.right2.1.beta                                  | Shape: (128,)                         | Values: [ 0.20376135  0.18239051 -0.47961324 -0.00214439 -0.15827589]
  156: bga.right2.2.weight                                | Shape: (128, 128, 1, 1)               | Values: [ 0.02193886 -0.16026656  0.07940619 -0.21529372 -0.02937251]
  157: bga.conv.0.weight                                  | Shape: (128, 128, 3, 3)               | Values: [-0.14282694 -0.10088566 -0.12092616 -0.0701896   0.01228528]
  158: bga.conv.1.gamma                                   | Shape: (128,)                         | Values: [2.9682324 4.713591  2.3677871 2.8031921 5.6111403]
  159: bga.conv.1.beta                                    | Shape: (128,)                         | Values: [ 1.881486  -1.9223152  3.7447824  5.6735554 -2.4173546]
  160: head.conv.conv.weight                              | Shape: (1024, 128, 3, 3)              | Values: [-0.01777128  0.0155993  -0.02196859 -0.00041359  0.02099098]
  161: head.conv.bn.gamma                                 | Shape: (1024,)                        | Values: [1. 1. 1. 1. 1.]
  162: head.conv.bn.beta                                  | Shape: (1024,)                        | Values: [0. 0. 0. 0. 0.]
  163: head.conv_out.1.weight                             | Shape: (20, 1024, 1, 1)               | Values: [ 0.24982479  0.3901326   0.03817635 -0.28670838 -0.23893936]
  164: head.conv_out.1.bias                               | Shape: (20,)                          | Values: [0. 0. 0. 0. 0.]
  165: aux2.conv.conv.weight                              | Shape: (128, 16, 3, 3)                | Values: [-0.03590656  0.04288267  0.03262876  0.01171886 -0.01708754]
  166: aux2.conv.bn.gamma                                 | Shape: (128,)                         | Values: [1. 1. 1. 1. 1.]
  167: aux2.conv.bn.beta                                  | Shape: (128,)                         | Values: [0. 0. 0. 0. 0.]
  168: aux2.conv_out.0.0.conv.weight                      | Shape: (16, 128, 3, 3)                | Values: [-0.01817465 -0.0166388   0.13052113 -0.05817582 -0.05602033]
  169: aux2.conv_out.0.0.bn.gamma                         | Shape: (16,)                          | Values: [1. 1. 1. 1. 1.]
  170: aux2.conv_out.0.0.bn.beta                          | Shape: (16,)                          | Values: [0. 0. 0. 0. 0.]
  171: aux2.conv_out.1.weight                             | Shape: (20, 16, 1, 1)                 | Values: [-0.28350994 -0.09976444 -0.5841834   0.343478   -0.35075924]
  172: aux2.conv_out.1.bias                               | Shape: (20,)                          | Values: [0. 0. 0. 0. 0.]
  173: aux3.conv.conv.weight                              | Shape: (128, 32, 3, 3)                | Values: [-0.01760602 -0.01140939 -0.06715935 -0.01125888  0.01851208]
  174: aux3.conv.bn.gamma                                 | Shape: (128,)                         | Values: [1. 1. 1. 1. 1.]
  175: aux3.conv.bn.beta                                  | Shape: (128,)                         | Values: [0. 0. 0. 0. 0.]
  176: aux3.conv_out.0.0.conv.weight                      | Shape: (64, 128, 3, 3)                | Values: [ 0.00389541 -0.02126254  0.05626998 -0.01492113 -0.04310247]
  177: aux3.conv_out.0.0.bn.gamma                         | Shape: (64,)                          | Values: [1. 1. 1. 1. 1.]
  178: aux3.conv_out.0.0.bn.beta                          | Shape: (64,)                          | Values: [0. 0. 0. 0. 0.]
